"uniqueID","qid","title","poster","date","replyTo","content"
1,2,"Welcome to Raising FIT Kids!","Haylen_WebMD_Staff","2011-02-08 17:07:13","<INIT>","Almost one out of three children in the United States is overweight. If you<APO>re a parent who is concerned about keeping your kids fit and healthy, find feedback from other parents and experts in this community. I have a 6 year old daughter who just started Kindergarten and a 2.5 year old daughter. Many members of my family do not live healthy lives - I hope to turn that around with my kids! Looking forward to sharing with you all - Haylen"
2,2,"Welcome to Raising FIT Kids!","Boyzmomee","2011-02-16 14:44:59","<ORG>","Hi, I have two sons, ages 20 and 13. Both are rail thin and can eat whatever they want no matter how active they are. We are an active family with sports and outdoor activities. I think offering kids good food and activites is much better than the \"diet\" route although a physician<APO>s recommendation should be followed if there are health concerns."
9,6,"Getting kids active - do you have tips or tricks to get them moving?","Haylen_WebMD_Staff","2011-02-10 18:22:41","<INIT>","Michelle Obama<APO>s Let<APO>s Move program is a year old! WebMD<APO>s talked to the First Lady about her fight to end childhood obesity. I thought her views on kids and exercise were right on: \"We need to make sure kids understand exercise is the secret code word for play...Exercise should be fun, and it will take all of us to send those messages.\" I<APO>m not always successful at getting my 6 and 2 year old off the couch but \"outside adventures\" get them moving. We go on pre-dinner walks to find a sparkly rock, an interesting stick or a pretty leaf, take photos of the cute neighborhood pets or perform a secret spy mission. The result is a 30 - 45 minute fresh air walk - good for them AND for me. How do you get creative to fit exercise into your family routine? Haylen"
12,9,"Help for my step-daughter","jhilton1","2011-02-14 00:02:36","<INIT>","I am soooo glad that this community surfaced because this is a hard subject, I have been looking for tips for my step daughter. She is 9 and she has been on a steady incline of weight for the last three years (when her parents divorced) Its because her mother takes them out for fast food for every meal, she says she has no time to cook. We eat very healthy at our house but we cant battle all fast food all the time for half of the month. Its really bad when they will call and their dad asks \"what did you have for dinner\" and she will say \"we went to Sonic and I had cheddar bites, the coating off of onion rings and a pop\" or she will say that she had a mcdonalds meal (Adult size meal, not a kids meal) and that wasnt enough so she ate her sister<APO>s leftovers from the mongolian bbq place! Or they ate popcorn at home for breakfast because their cereal was stale, but then they went to mcdonalds so she ate again. We have talked to her about nutrition, portion control, and told her that we cant control where they eat when she is at moms, but she can make healthier choices when eating. But it doesnt change! and when we talk to his ex she gets defensive and wont hear it. Im scared for her future, and her health, but what do we do?"
13,9,"Help for my step-daughter","Foreverinyoureyes2","2011-02-14 22:14:21","<ORG>","Jhilton, I don<APO>t have much advice for you, because I have found myself in the same boat. My 3 step-children are with us nearly full time now, but in the past we were in the same situation. My step-children are all slender, but that was sort of part of the problem. I think that there is a perception that skinny = healthy. And that is simply not so! Just because the poor food choices have not caught up with their weight yet doesn<APO>t mean it won<APO>t, and their teeth and development depends on a healthy, balanced diet. We approached it like you are. We made out home healthy and balanced. It was kind of a drag, because we couldn<APO>t have treats and desserts as often, because they would have pop-tarts or (seriously) candy for breakfast at their mom<APO>s, so desserts or anything like that was off the table for us, because we felt like we had to load them up on lean protein, whole grains, low fat dairy and fruits and veggies when we had them. I wish you luck in figuring this out. It is so important to be dillegent when they are young to teach them good habits for when they get older. I hope others will have actual advice for you, since all I can say is that I totally understand your frustration, and I feel for you!"
14,9,"Help for my step-daughter","jhilton1 ","2011-02-16 17:09:41"," Foreverinyoureyes2","its really sad, I just dont know how to help her. I have checked her BMI and she is is in the high risk zone medically! She acts sad when she sees her weight, or when she accidently grabs her (older) stepbrother<APO>s jeans and cant get them on, and she eats healthy with us, and then when she is at her mom<APO>s house its like she isnt under the watchful eye anymore so she eats horribly! Same thing with her grandparents house, my father in law caught me in the mall one day and was telling me he just found out how different she eats at our house from their house and he is at least trying to help. I remember going over there for dinner once and she ate more food than I did, I finally had to take her plate from her because she kept going back, and not 10 minutes later she asked for a muffin and when when her dad said no she pouted then went to complain to grandma about it! I dont know how to help her and I feel like the evil step mom when I make her stop eating!"
15,9,"Help for my step-daughter","nursingbug ","2011-02-16 20:25:17"," jhilton1","Well, I don<APO>t know if I can help, but I will put my two cents in. I don<APO>t see how she can be successful unless you get mom on board. 9 is a very young age to be making independant choices against what her mother expects of her. Can you go, or your husband go, to a pediatrician<APO>s appointment? kind of hard to say they are wrong, and that may help convince her. Or talk to a nurse at her school if they have one. My last comment may be kind of offensive, but I don<APO>t mean it to be, so forgive me. I think they still have camps for kids with weight problems. That way she could learn how to eat better away from mom, and meet other kids with the same issues. Then she may be able to be more sucessful, even if mom still doesn<APO>t want to hear it. I started gaining my weight at about the same age, and at my biggest (adult) weight I was over 300 lbs, so if she can start improving now, that would be good. I wish you the best of luck!"
16,9,"Help for my step-daughter","prettygirlsmommy ","2011-02-17 17:10:53"," jhilton1","I know exactly how you feel. It<APO>s hard dealing with what I say \"baby mamma drama\" when it comes to your spouses kids and how the life you live in your house hold is different than the childs mother<APO>s house hold. I deal with the same issues with my fiances ex and to top it off she has always acted like her Sh** don<APO>t stink and treats me like I didn<APO>t know what I am talking about because I am younger than her and I haven<APO>t been a mother long enough. My fiance and I have a daughter together who does have a weight issue. I never thought in a million years that she would have this health issue. Even for my step daughter she is a big girl (not fat,) she was healthy looking, but not over weight, she is tall for her age and so is my daughter. They get it from their father who is 6<APO>1. We would get into arguments with my step daughters mother about not just diet but how she was raising her period. Some adults just need to let bygones be bygones and move on with their lives and make the best of what we have. We have to work together when it comes to the kids especially in these type of situations. My step daughter is 14 going to be 15 this year and I<APO>ve been with her father since she was 5 and let me tell you not one thing between the difrences or disagreements between us and the mother have not changed! Now this woman (your dealing with) may be different and our situations are not completely the same, but we both have to deal with people who do not know how to accept a helping hand when it<APO>s given and just slap it away not realizing it<APO>s the benefit of the kids. It<APO>s a shame that a grown woman or any adult wouldn<APO>t want better for their own child even if the advice comes from the father and their new wife or girl friend. I have to deal with my daughters weight who is 7 yrs old and is type-2 diabetic and takes metformin ER and has high cholesterol. These are issues her father and I are trying to work with and if someone came to me and was concerned and wanted to help with my child I would appreciate the tought because their are not a lot of warm hearted people out there to at least take the time and motion to help out someone elses kid. Hang in there you and your hubby, be the postive enforcement that little girl needs and talk to the daughter about the health issues, tell the daughter to make the better choices. My best to you and your family, God Bless."
17,9,"Help for my step-daughter","Christopher Tiongson, MD ","2011-02-17 19:07:09"," prettygirlsmommy","This is a tough one. Changes for kids stick best when the whole family is included. Add trying to keep consistency between households, and wow. I think a vist with your pediatrician with both mom and dad may be the way to start. Both households need to be on board and understand the future health risks as well as how this is affecting the child now. This could be a chance to explore what the barriers are that are getting in the way of healthy eating and activity. Identifying the barriers (time, lack of resources, lack of awareness) and then brainstorming ways to overcome them could be the next step."
18,10,"The Growl-ly Hour! Handling Hungry Kids...","Haylen_WebMD_Staff","2011-02-14 00:48:58","<INIT>","5 pm is the growl-ly hour at my house - tummies and attitudes. Here<APO>s a \"surprise snack\" tactic that works to get my 6 and 2.5 year old girls to enjoy a healthy pre-dinner experience: Make a big announcement \"Time for a surprise snack!\" - sell it! Put a \"surprise\" in the middle of a plate - a small something your kids think of as a treat. I<APO>ve used a gummy bear, an M&M, one marshmallow or a small chocolate covered pretzel. My big kid is crazy for salt so a pepperoni or a pickle work for her. Surround the surprise with healthy snacks - cut up fruit, veggies, whole grain crackers, cheese. Present with a flourish! Pretend your kids are customers at an elegant restaurant - put ice water in a grown-up glass, use fancy placemats and cloth napkins. Call them \"Miss\" or \"Mister\". BONUS: I get a few minutes to think about dinner while they munch away. What is your go-to healthy snack to beat the growl-ies? Any tips or tricks to share? Haylen p.s. 19 Healthy Snacks for Kids gave me more food healthy food ideas."
